"Source:","F:\UST_G\AIRDOSC01\hw\sch_pcb\AIRDOSC01A_PCB01C\hw\sch_pcb\AIRDOSC01A_PCB01C.kicad_sch"
"Date:","03.01.2022 14:01:27"
"Tool:","Eeschema (5.99.0-13046-g4fe9f01eb0)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","39"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","UST_ID"
"9","10","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10","HEADER_2x01_PARALLEL","MLAB_HEADER:HEADER_2x01_PARALLEL","Mlab_Pin_Headers:Straight_2x01","",""
"10","4","M1, M2, M3, M4","HOLE","MLAB_MECHANICAL:HOLE","Mlab_Mechanical:MountingHole_3mm","",""
"11","4","R1, R2, R4, R5","10R","Device:R","Mlab_R:SMD-0805","~","5c70984512875079b91f896d"
"12","1","R3","100R","Device:R","Mlab_R:SMD-0805","~","5c70984512875079b91f8977"
"13","2","R6, R7","-","Device:R","Mlab_R:SMD-0805","~",""
"14","1","R9","470R","Device:R","Mlab_R:SMD-0805","~","5c70984512875079b91f8986"
"15","1","R10","12k","Device:R","Mlab_R:SMD-0805","~","5c70984612875079b91f89a1"
"16","2","R11, R12","1k","Device:R","Mlab_R:SMD-0805","~","5c70984512875079b91f898c"
"17","1","U1","MICROFC-60035-SMT-TR(1)","MLAB_IO:MICROFC-60035-SMT-TR(1)","Mlab_IO:MicroFC−60035−SMT","","60f907411287500165a96c1e"
"18","1","U2","OPA836IDB","Amplifier_Operational:OPA847xDBV","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/opa847.pdf","5c7273171287500b4e112ff8"
